"X","Gender","Age","Education","Occupation","Income","q1k","q2k","q3k","q4k","Q5K1","Q5K2","Q5K3","Q5K4","Q5K5","Q5K6","Q6K","Q7K","Q8K","Q9K","Q10C1","Q10C2","Q10C3","Q10C4","Q10C5","Q10C6","Q10C7","Q11C1","Q11C2","Q11C3","Q11C4","Q11C5","Q12C1","Q12C2","Q12C3","Q12C4","Q12C5","Q12C6","Q13C1","Q13C2","Q13C3","Q13C4","Q13C5","Q14C","Q15C1","Q15C2","Q15C3","Q15C4","Q15C5","Q16P1","Q16P2","Q16P3","Q17P1","Q17P2","Q17P3","Q17P4","Q17P5","Q18I1","Q18I2","Q18I3","Q18I4","Q19C1","Q19C2","Q19C3","Q19C4","Q19c5","Q19c6"
18,1,30,2,4,3,2,1,3,1,1,1,1,1,0,0,2,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,4,5,2,6,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,2,2,3,2,1,5,4,5,5,2,3,4,5,1,6
19,2,31,3,2,2,1,1,4,1,1,1,1,0,1,1,1,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,3,1,4,5,2,6
20,2,34,2,2,3,2,1,2,1,1,1,1,0,0,1,1,2,1,2,1,1,1,2,2,2,2,2,2,1,2,2,3,4,5,1,6,2,0,0,0,0,0,1,1,1,1,1,1,0,0,1,3,3,3,3,3,4,4,4,4,4,5,1,2,3,6
21,2,38,3,2,3,1,1,4,2,1,1,0,0,0,1,2,1,2,2,4,2,2,3,2,2,1,1,1,1,1,1,1,2,3,5,4,6,0,1,1,0,1,1,1,1,1,1,1,1,0,1,3,3,3,3,3,5,4,5,5,1,2,5,3,4,6
22,1,46,2,2,3,2,4,4,1,1,1,1,1,1,1,1,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,4,2,5,6,1,1,0,1,0,3,1,0,0,0,0,0,1,1,2,2,2,2,2,3,5,3,5,1,2,3,4,5,6
23,1,21,2,1,2,2,1,1,2,1,1,0,1,0,1,1,2,3,2,2,1,1,1,1,1,1,3,3,3,3,3,2,3,5,4,6,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1,2,1,1,5,5,5,5,1,5,2,4,3,6
24,1,28,3,2,2,1,1,2,2,0,1,1,0,0,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,4,5,3,1,2,6,0,1,1,0,1,1,0,0,1,1,1,0,1,0,2,2,2,2,3,2,2,2,2,5,4,1,2,3,6
25,2,37,2,2,3,2,1,4,1,1,1,0,0,0,1,1,3,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,3,5,6,0,1,1,0,1,1,1,1,1,1,1,1,0,0,2,2,1,1,2,5,5,5,5,4,3,2,5,1,6
26,2,36,2,2,4,1,1,4,2,1,1,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,3,4,2,5,6,1,1,1,0,0,1,1,1,0,1,1,0,1,1,2,2,2,2,2,5,5,4,4,4,2,1,5,3,6
27,1,35,2,2,3,2,1,4,1,1,1,1,0,0,0,1,2,4,2,1,1,1,1,4,1,1,1,1,1,1,1,3,4,6,1,2,5,0,1,1,0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,2,5,5,5,5,5,1,2,3,4,6
28,2,28,2,2,2,2,1,2,1,1,1,1,1,1,1,1,3,3,2,1,1,2,2,1,1,1,1,1,1,1,1,4,2,1,3,5,6,1,1,1,0,0,1,1,1,1,1,1,0,1,0,2,2,2,2,3,5,5,5,5,5,1,2,3,4,6
29,2,25,3,4,2,2,1,4,2,0,1,0,0,0,0,1,2,1,2,1,4,2,3,2,2,2,1,1,1,1,1,6,5,1,2,3,4,1,0,0,0,1,1,1,0,1,1,1,0,1,0,1,1,2,1,3,5,3,5,5,3,2,4,5,1,6
30,2,46,2,2,2,5,1,2,1,1,1,0,1,1,1,1,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,3,2,4,6,5,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,2,2,2,1,1,1,1,1,4,5,3,2,1,6
31,2,24,2,1,2,1,1,2,1,1,1,0,1,1,1,1,3,1,2,2,2,2,2,1,1,1,1,1,1,1,1,4,3,2,6,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,5,3,5,5,2,1,4,5,3,6
32,2,42,2,2,3,2,1,3,1,1,1,0,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,4,6,1,2,5,0,1,1,0,1,1,0,0,1,1,1,1,0,0,1,1,1,2,1,1,1,1,1,3,4,5,2,1,6
33,2,42,2,4,3,1,1,3,1,1,1,0,1,0,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,5,6,1,2,4,3,1,1,0,1,0,1,1,1,1,0,0,0,0,1,2,1,2,1,3,5,5,5,5,2,3,4,5,1,6
34,2,34,2,2,2,1,1,4,1,1,1,0,1,0,1,1,3,4,2,1,1,2,3,1,1,2,1,1,1,1,1,3,4,5,2,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,2,2,2,2,2,1,1,2,1,4,3,2,5,1,6
35,2,37,2,4,3,2,1,4,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,3,6,1,4,5,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,5,5,5,3,2,4,5,1,6
36,2,28,2,4,2,2,1,3,1,1,1,1,1,1,1,1,3,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,4,6,5,3,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,5,5,5,5,4,3,5,2,1,6
37,2,36,2,2,3,1,1,4,1,1,1,1,0,1,1,1,2,2,2,2,1,2,2,2,2,2,1,1,1,1,1,1,2,6,4,5,3,1,1,1,0,0,2,1,1,1,1,1,0,1,1,3,2,2,2,2,3,3,3,4,2,1,3,5,4,6
38,2,42,3,2,2,5,1,4,2,1,1,1,1,1,1,1,2,4,2,1,1,1,2,1,1,2,1,1,1,1,1,1,2,3,4,5,6,1,1,1,0,0,1,1,1,1,1,1,1,0,1,2,2,3,2,2,5,5,5,5,5,2,3,4,1,6
39,2,27,3,1,2,2,1,3,1,1,1,0,0,0,1,1,3,2,2,1,1,1,2,1,1,1,1,1,1,1,1,3,4,2,5,6,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,5,5,5,5,1,2,4,5,3,6
40,2,36,2,2,3,5,1,3,1,1,1,0,0,0,1,1,3,4,2,2,2,2,3,1,1,1,1,1,1,1,1,5,4,1,6,3,2,0,1,1,0,1,1,1,1,1,1,1,0,1,0,2,3,1,2,2,4,4,5,5,5,3,2,4,1,6
41,2,19,2,1,2,2,1,3,1,1,1,1,0,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,6,3,5,4,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,2,5,5,5,5,5,1,3,2,4,6
42,2,50,3,4,3,2,1,4,1,1,1,1,1,1,1,1,2,4,1,1,1,1,2,1,1,1,1,1,1,1,1,3,4,1,5,6,2,1,0,0,1,1,1,1,1,1,1,1,1,0,0,2,2,1,2,2,1,1,1,1,1,2,5,4,3,6
43,2,30,2,2,3,1,1,4,2,1,0,0,1,0,0,1,3,1,2,1,4,1,3,1,1,1,1,1,1,1,1,1,6,3,5,2,4,0,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,5,5,5,5,5,1,4,6,2,3
44,2,20,2,1,2,1,1,3,1,1,1,0,1,1,1,1,3,4,2,1,1,1,1,1,1,2,1,1,1,1,1,4,1,0,2,5,3,0,1,1,0,1,2,1,1,1,1,1,1,0,0,1,1,2,1,1,5,5,5,5,1,2,5,3,4,6
45,2,24,2,2,2,2,1,3,2,1,1,1,1,0,0,1,3,1,2,1,2,2,1,1,1,1,1,1,1,1,1,5,1,6,3,4,2,1,1,0,0,1,2,1,0,1,1,1,1,1,0,3,1,2,1,2,5,5,4,3,1,2,3,5,4,6
46,2,37,2,2,3,5,1,4,2,1,1,1,1,0,0,1,2,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,2,5,6,1,1,1,0,0,1,0,0,0,0,1,0,0,1,2,2,1,2,4,5,4,5,5,2,3,4,5,1,6
47,2,31,2,2,3,1,1,3,1,1,1,1,1,1,1,1,3,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,6,3,1,5,4,0,1,1,0,1,3,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,5,4,3,2,1,6
48,1,27,2,2,2,2,1,4,2,1,1,0,0,1,1,2,2,3,2,2,2,1,2,2,2,2,1,1,1,1,1,6,4,3,1,5,2,0,1,1,0,1,1,1,0,1,0,1,0,1,1,3,3,2,3,2,3,3,4,4,5,3,4,2,1,6
49,2,36,2,2,3,2,1,4,2,1,1,1,1,1,1,2,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,5,6,1,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,1,1,5,5,5,5,2,3,4,5,1,6
50,1,53,3,2,3,2,1,4,2,1,1,1,1,0,1,1,3,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,3,4,2,0,5,0,0,0,0,0,1,1,1,0,0,1,1,0,0,2,2,1,2,2,5,4,4,4,3,2,1,4,6,5
51,2,16,1,1,2,2,1,1,1,1,1,1,1,0,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,6,2,5,1,1,0,1,0,1,1,1,1,1,1,1,0,0,3,1,1,1,1,5,5,5,5,1,2,3,5,4,6
52,2,17,1,1,2,2,1,3,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,2,2,2,1,1,1,1,1,2,1,3,0,5,4,0,1,1,0,1,1,0,0,0,0,1,0,1,0,2,2,2,1,1,5,5,4,5,4,1,3,5,2,6
53,2,35,2,2,2,1,1,4,2,0,0,0,1,0,0,2,2,4,2,2,2,3,2,2,2,2,1,1,1,1,1,1,2,3,4,5,6,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,2,3,3,5,3,5,4,0,0,0,0,0,0
54,2,37,3,2,2,2,1,2,1,1,1,0,1,0,1,1,2,1,2,1,1,2,2,1,1,1,1,1,1,1,1,4,6,5,2,3,1,0,1,1,0,1,1,1,0,1,1,1,1,0,0,2,2,1,1,1,5,5,5,5,4,3,1,5,2,6
55,2,16,1,1,2,2,1,3,2,1,1,1,0,0,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,4,5,2,6,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,2,1,1,1,5,5,5,5,2,1,4,5,3,6
56,1,15,1,1,2,2,1,3,1,1,1,0,1,1,1,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,6,4,3,1,5,2,0,1,1,0,1,1,1,0,1,1,1,1,0,0,3,2,2,1,1,5,5,3,5,2,1,4,5,3,6
57,1,21,2,1,2,2,1,3,2,1,0,1,0,0,1,1,3,4,2,2,1,4,4,1,1,1,1,1,1,1,1,5,4,3,2,6,1,1,1,0,0,1,2,0,0,0,0,1,0,1,0,2,3,3,2,4,4,4,4,5,4,1,3,5,2,6
58,1,27,2,2,2,2,1,4,1,1,1,1,1,0,1,1,3,1,2,1,2,3,3,1,1,1,1,1,1,1,1,1,5,6,2,3,4,0,1,1,0,1,1,1,1,1,1,1,0,0,1,2,2,2,2,2,5,5,5,5,1,2,3,4,5,6
59,2,33,2,2,3,2,1,3,1,1,1,0,0,0,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,2,6,4,5,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,5,5,5,5,3,1,2,5,4,6
60,2,16,1,1,2,2,1,2,1,1,1,1,0,0,0,1,3,2,2,1,1,2,3,1,1,2,1,1,1,1,1,5,2,6,1,3,4,1,1,1,0,0,2,0,1,0,0,0,0,1,0,2,2,2,1,2,3,4,4,5,1,2,5,3,4,6
61,2,20,2,1,2,1,1,2,1,1,1,1,1,1,0,1,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,5,6,4,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,3,5,4,6
62,2,36,2,2,4,2,1,2,1,1,1,0,1,0,1,1,3,1,2,1,1,1,2,1,1,2,2,2,2,1,1,3,2,1,4,5,6,0,1,1,0,1,1,0,0,0,0,1,0,0,1,3,3,3,3,3,5,5,5,5,5,1,2,3,4,6
63,2,17,1,1,2,2,1,1,2,1,1,0,0,0,1,2,3,2,1,2,2,2,2,2,2,2,2,3,1,2,3,6,4,5,1,3,2,1,1,0,1,0,1,1,1,1,1,1,0,1,0,4,4,4,4,2,4,3,3,1,1,2,3,4,5,6
64,1,16,1,1,2,2,1,4,2,1,1,0,0,0,1,1,4,4,2,2,2,3,3,2,2,3,1,2,1,1,1,4,3,2,5,6,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,2,2,3,4,4,4,3,3,3,2,1,3,5,4,6
65,1,16,1,1,2,5,4,4,2,0,0,0,0,0,0,2,3,4,2,1,1,2,2,1,1,1,1,1,1,2,1,4,5,6,3,2,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,3,3,3,3,3,4,4,5,5,5,1,2,3,4,6
66,2,22,2,4,2,1,1,4,2,1,1,0,1,0,1,1,2,4,2,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,1,5,6,1,1,1,0,0,1,1,0,0,0,0,1,0,0,2,2,2,2,2,3,3,3,3,1,2,4,5,3,6
67,2,29,3,2,3,2,1,3,1,1,0,0,0,0,0,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,3,4,1,5,6,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,5,5,5,5,2,1,3,4,5,6
68,2,44,2,4,2,1,1,3,1,1,1,1,0,1,1,1,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1,5,2,4,1,3,6,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,5,5,5,5,1,5,4,3,2,6
69,2,31,3,2,2,2,1,2,1,1,1,1,1,1,1,1,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1,5,6,4,1,3,2,0,1,1,0,1,1,1,0,1,0,1,1,0,0,2,2,1,2,1,5,5,5,5,5,3,2,4,1,6
70,2,33,3,4,3,2,1,1,1,1,1,1,1,1,1,1,3,1,2,2,1,2,2,1,1,1,1,1,1,1,1,4,1,3,5,6,2,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,1,2,5,5,4,3,3,2,4,5,1,6
71,2,17,1,1,2,2,1,2,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,4,6,3,5,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,2,2,1,1,2,3,3,4,4,5,1,4,2,3,6
72,2,20,2,1,2,1,1,3,1,0,1,0,0,0,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,2,5,6,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,5,5,5,5,1,2,3,5,4,6
73,2,40,2,2,3,2,1,4,1,0,1,0,1,1,1,1,2,4,2,2,1,1,1,2,1,2,1,1,1,1,1,1,3,2,4,5,6,1,1,1,0,0,2,1,0,1,0,1,1,0,1,1,1,1,1,1,5,5,5,4,1,4,5,2,3,6
74,1,15,1,1,2,2,1,3,1,0,0,0,1,0,0,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,6,2,3,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,2,2,2,2,2,5,5,5,4,5,2,4,1,3,6
75,2,16,1,1,2,1,1,2,2,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,6,5,4,2,3,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,2,5,5,5,5,1,2,4,3,5,6
76,1,16,1,1,2,2,1,3,1,1,1,1,1,0,1,2,3,1,1,2,1,1,2,2,1,1,1,1,1,1,1,4,5,6,2,1,3,1,1,1,0,0,2,1,1,1,1,1,0,0,1,1,1,3,2,1,4,3,5,5,2,3,5,4,1,6
77,2,40,3,4,2,1,1,1,1,0,1,0,0,0,0,1,3,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,3,5,2,4,6,1,1,1,0,0,1,1,0,0,0,1,0,1,0,2,2,2,2,2,5,1,2,2,1,4,5,3,2,6
78,2,47,3,2,2,2,1,4,1,1,0,0,0,0,0,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,3,2,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,2,5,5,5,2,1,3,4,5,6
79,1,41,3,4,2,1,1,4,2,1,1,1,0,1,1,1,3,4,2,2,1,2,2,2,2,1,1,1,1,1,1,1,2,3,4,5,6,0,1,1,0,1,1,1,1,1,1,1,0,0,1,2,2,2,2,2,5,3,5,5,1,2,3,4,5,6
80,2,30,3,2,3,2,1,2,1,1,1,0,1,0,1,1,1,4,2,1,1,1,1,1,1,1,3,1,1,1,1,1,2,4,5,6,3,1,1,0,0,0,1,0,0,0,0,1,0,0,1,2,2,1,1,1,4,1,5,5,2,3,1,4,5,6
81,2,16,1,1,2,2,1,3,1,1,1,0,1,0,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,4,5,6,2,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,2,1,1,5,5,5,5,5,4,3,2,1,6
82,2,17,1,1,2,2,1,3,1,1,1,1,1,1,1,1,3,4,2,1,1,1,1,1,1,1,1,1,1,1,1,6,4,2,5,3,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,2,2,2,2,1,2,1,2,1,4,1,5,2,3,6
83,2,30,3,2,2,1,1,4,2,1,1,1,1,1,1,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,3,4,5,6,2,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,2,1,1,2,2,3,2,3,3,2,1,3,4,5,6
84,2,16,1,1,2,2,1,4,1,0,1,1,0,0,1,2,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,3,6,5,0,1,1,0,1,2,0,0,0,0,1,0,1,1,1,2,3,2,1,5,5,5,5,3,1,5,4,2,6
85,1,15,1,1,2,2,1,2,2,1,1,0,1,0,0,2,2,4,2,1,1,1,1,1,1,1,1,1,1,1,1,3,4,6,5,1,2,1,1,1,0,0,2,0,0,0,0,1,0,1,0,2,2,2,2,1,3,4,5,5,4,1,2,5,3,6
86,2,16,1,1,2,1,1,4,1,1,1,0,1,0,0,1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,5,6,4,2,3,1,0,1,1,0,1,2,1,1,1,1,1,0,1,0,2,2,1,1,2,5,4,4,4,2,1,3,5,4,6
87,2,41,3,4,2,2,1,3,1,1,1,1,1,1,1,1,2,4,1,2,2,2,2,2,1,1,1,1,1,2,1,6,4,1,2,5,3,0,1,1,0,1,2,1,1,1,1,1,1,0,0,2,2,1,2,2,4,5,4,4,3,2,1,5,4,6
88,2,34,3,4,3,1,1,3,1,1,1,1,1,1,1,1,3,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,2,6,3,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,2,5,5,5,5,5,4,3,2,1,6
89,2,29,2,4,2,2,1,4,1,1,0,0,0,0,0,1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,5,6,1,2,3,4,1,1,1,0,0,1,0,0,0,0,1,0,0,1,2,2,2,2,3,5,5,5,5,5,2,4,3,1,6
90,2,42,2,4,2,2,1,2,1,1,1,0,0,0,1,1,3,3,2,1,1,2,4,1,2,2,1,1,1,1,1,1,2,3,5,6,4,1,1,1,0,0,2,1,1,0,1,1,0,0,0,1,2,1,2,1,3,4,5,5,5,2,3,4,1,6
91,2,28,3,2,2,2,1,4,2,1,0,0,0,0,0,1,2,4,2,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,4,5,6,1,1,1,0,0,1,1,1,1,1,1,0,1,0,2,2,1,1,1,5,5,5,5,4,3,1,5,2,6
92,2,15,1,1,2,1,1,2,2,0,1,0,0,0,1,2,2,1,2,2,4,2,2,1,1,2,1,1,1,1,1,6,4,2,5,3,1,1,1,0,0,0,3,0,0,0,0,0,0,1,0,4,4,3,3,4,3,5,2,4,1,2,3,4,5,6
93,1,35,3,2,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,2,1,1,1,1,1,2,5,6,4,3,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,2,2,3,1,1,3,3,4,4,5,4,2,3,1,6
94,1,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
95,1,16,1,1,1,2,1,2,2,1,1,0,0,0,1,2,2,4,2,1,1,1,1,1,1,1,3,1,1,1,1,2,3,1,4,5,6,1,1,0,1,0,1,1,1,1,1,1,0,0,1,2,2,2,2,2,4,4,4,3,5,1,4,3,2,6
96,1,16,1,1,2,2,1,3,2,1,1,0,1,0,0,1,3,2,2,1,2,2,3,1,1,2,1,1,1,1,1,5,6,1,4,3,2,1,0,0,1,1,1,1,0,1,1,1,0,1,0,2,2,3,2,3,3,4,3,5,6,1,5,3,4,2
97,1,31,3,4,3,2,1,3,1,1,1,0,0,0,1,1,2,3,1,2,2,1,2,2,2,2,1,1,1,1,1,5,6,4,2,3,1,0,1,1,0,1,2,0,0,0,0,1,0,1,0,1,2,1,2,2,2,2,2,2,1,2,3,5,4,6
98,2,16,1,1,2,5,1,1,2,1,1,1,0,0,0,1,3,1,1,2,1,1,3,1,1,2,1,1,1,2,1,2,1,6,3,4,5,1,0,1,1,0,2,0,0,1,1,1,1,0,0,2,3,2,2,3,3,5,3,4,2,1,4,5,3,6
99,2,16,1,1,2,2,1,2,2,1,1,0,1,0,0,1,2,1,1,2,2,2,2,1,1,2,1,1,1,1,1,6,4,1,3,5,2,0,1,1,0,1,2,1,1,1,1,1,0,1,1,2,2,2,2,2,3,3,3,3,1,2,3,4,6,5
100,2,45,2,4,2,2,1,4,1,1,1,1,1,0,1,1,1,2,2,2,2,3,3,2,2,1,1,1,1,1,1,3,4,5,6,2,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,2,3,2,2,3,1,1,1,1,5,4,2,3,1,6
101,2,16,1,1,2,1,1,2,1,1,0,1,1,0,1,2,3,2,2,1,2,3,3,2,1,2,1,1,1,1,1,3,4,6,2,1,5,1,1,1,0,0,1,1,1,1,1,1,0,1,0,2,3,1,2,3,5,5,5,5,5,3,2,1,4,6
102,2,36,2,2,3,1,1,4,1,1,1,0,0,0,1,1,1,1,2,1,1,1,2,2,2,2,1,1,1,1,1,2,4,5,1,6,3,0,1,1,0,1,1,1,0,0,0,1,0,0,1,2,2,2,2,2,5,5,5,5,5,2,1,4,3,6
103,2,15,1,1,2,1,1,4,2,1,1,1,1,0,0,1,2,4,2,2,1,3,3,1,1,1,1,1,1,1,1,1,6,4,2,3,5,1,1,0,1,0,2,1,1,1,0,1,0,1,1,3,2,2,3,3,3,4,3,1,5,1,4,3,2,6
104,1,15,1,1,2,2,1,1,2,0,1,1,1,0,1,1,2,2,2,1,1,2,1,2,2,2,2,1,1,1,1,5,1,6,2,3,4,1,1,1,0,0,2,0,0,0,0,1,0,1,0,2,2,3,3,3,4,5,3,4,1,2,3,4,5,6
105,1,25,2,4,2,2,1,4,1,1,1,1,1,1,1,1,3,2,2,1,1,2,3,1,1,2,1,1,1,1,1,3,2,1,4,6,5,1,1,0,0,1,2,0,0,0,0,1,1,0,0,1,2,1,2,4,5,5,3,2,3,2,1,4,5,6
