IDrespond,Status,IPAddress,Progress,Duration__in_seconds_,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Gender,Age,Education,Occupation,Income,q1k,q2k,q3k,q4k,Q5K1,Q5K2,Q5K3,Q5K4,Q5K5,Q5K6,Q5K7,Q6K,Q7K,Q8K,Q9K,Q10C1,Q10C2,Q10C3,Q10C4,Q10C5,Q10C6,Q10C7,Q11C1,Q11C2,Q11C3,Q11C4,Q11C5,Q12C1,Q12C2,Q12C3,Q12C4,Q12C5,Q12C6,Q12C8,Q13C1,Q13C2,Q13C3,Q13C4,Q13C5,Q13C6,Q14C,Q15C1,Q15C2,Q15C3,Q15C4,Q15C5,Q15C6,Q16P1,Q16P2,Q16P3,Q16P4,Q16P5,Q17P1,Q17P2,Q17P3,Q17P4,Q17P5,Q18I1,Q18I2,Q18I3,Q18I4,Q22C1,Q22C2,Q22C3,Q22C4,Q22c5,Q22c6
QSI11,1, ,100,1105,1,04/02/2019,R_R3PaLvp7MAdRyE1, , , , ,21.03129578,105.851593,preview,VI,2,36,3,2, ,2,1,1,1,1,1,1, ,1,1, ,1,1,1,2, , , , , , , ,2,2,2,1,1, , , , , , , , , , , , , ,1, , , , , , , , , , , ,3,2,3,2,4,3,5,4,5,3,2,5,6,4,1
QSI12,1, ,100,27,1,04/02/2019,R_3kiIqp7b0Chp6tW, , , , ,21.03129578,105.851593,preview,EN, , ,NA, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
QSI13,1, ,100,25,1,04/02/2019,R_3kA3WUrI3Td1yce, , , , ,21.03129578,105.851593,preview,EN, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
QSI14,1, ,100,1595,1,04/02/2019,R_3Mmns4qyCpkdiPY, , , , ,21.03129578,105.851593,preview,EN,2,31,3,2, ,2,1,3,1,1,1,1,1,1,1, ,1,3,1,1, , , , , , , ,1,2,1,1,1, , , , , , , , , , , , , ,1, , , , , , , ,1, , , ,1,1,1,2,1,5,5,5,5,1,2,3,4,5,6
QSI15,0,103.253.89.40,100,4575,1,04/02/2019,R_2WYyusigoHgbarj, , , , ,10.81419373,106.6437988,anonymous,EN, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
QSI18,1, ,100,405,1,04/02/2019,R_C1FCfCmLBFoRMd3, , , , ,21.03129578,105.851593,preview,EN,2,1,3,2, ,2,1,3,1,1,1,1,1,1,1, ,1,3,1,1, , , , , , , ,1,2,1,1,1,1,5,4,3,6,2,8,3,1,2,4,5,6,1, , , , , , , ,1,1, , ,1,1,1,1,1,5,5,5,5,4,1,2,5,3,6
QSI19,1, ,100,259,1,04/02/2019,R_2xKw1Qkqhp8A6YD, , , , ,21.03129578,105.851593,preview,EN,2,36,3,2,3,2,1,3,1,1,1,1,1,1,1, ,1,3,1,1, , , , , , , ,1,2,1,1,1,4,1,5,3,6,2,8,3,1,2,4,5,6,1, , , , , , ,1, , , , ,1,1,1,1,1,5,5,5,5,2,1,3,4,5,6
QSI21,1, ,100,166,1,04/02/2019,R_1K7r3bs7k4S2640, , , , ,21.03129578,105.851593,preview,EN,2,36,3,2,3,2,1,3,1,1,1, , , , , ,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,4,5,1,6,2,8,3,1,2,5,4,6,1,1,1,1,1,1, ,1, , , , ,1,1,1,1,1,5,5,5,5,3,1,2,4,5,6
QSI22,1, ,100,732,1,04/02/2019,R_udX4DeiRKiI75VT, , , , ,21.03129578,105.851593,preview,EN,2,31,3,2,3,2,1,3,1,1,1,1,1,1,1, ,1,3,1,1,1,2,2,3,1,2,3,2,2,1,1,1,5,4,2,3,6,1,8,2,4,3,5,1,6,1,1,1,1,1,1, , ,1,1, , ,1,1,1,1,2,5,5,4,5,3,1,2,4,5,6
QSI23,1, ,100,908,1,04/02/2019,R_10r5P46qtoC0KP9, , , , ,21.03129578,105.851593,preview,VI,2,35,3,2,3,2,1,1,1,1,1,1, ,1,1, ,1,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,3,6,5,4,2,8,2,3,1,5,4,6,1,1,1,1,1,1, , ,1,1, , ,3,3,3,1,3,4,4,4,5,2,1,4,5,3,6
QSI24,0,14.232.214.147,100,556,1,04/02/2019,R_1dnQsy8nqxktZNc, , , , ,21.03129578,105.851593,anonymous,EN,2,40,3,2,3,2,1,3,2,1,1,1,1,1,1, ,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,4,1,5,6,3,8,2,5,1,4,3,6,1,1, ,1,1,1, , ,1,1, , ,1,1,2,2,2,5,5,5,5,3,2,1,5,4,6
QSI25,0,103.7.37.26,100,378,1,04/02/2019,R_1CqhS0EXVU4BOwW, , , , ,21.03129578,105.851593,anonymous,EN,2,26,3,1,3,2,1,3,1,1,1,1,1,1,1, ,1,3,1,2,1,2,2,3,1,1,2,1,1,1,1,1,1,4,6,2,3,5,7,3,1,4,2,6,5,1,1,1,1,1,1, , ,1,1, , ,1,1,1,1,2,3,2,1,2, , , , , , 
QSI26,0,117.0.161.221,100,761,1,04/02/2019,R_3NHZY0RFpwOQQlh, , , , ,21.03129578,105.851593,anonymous,VI,1,30,2,4,3,2,1,3,1,1,1,1,1, , , ,2,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,4,5,2,6,1,8,3,2,1,4,5,6,1, , , , ,1, , , ,1, , ,2,2,3,2,1,5,4,5,5,2,3,4,5,1,6
QSI27,0,14.177.235.121,100,913,1,04/02/2019,R_wQWd48Sh5kDRvMZ, , , , ,21.03129578,105.851593,anonymous,VI,2,31,3,2,2,1,1,4,1,1,1,1, ,1,1, ,1,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1, , , , , , , ,4,2,1,3,5,6,1,1,1,1,1,1, ,1, , , , ,1,1,1,1,1,1,1,1,1,3,1,4,5,2,6
QSI28,0,118.70.129.58,100,474,1,04/02/2019,R_3fs0Y89HHHL2CPp, , , , ,21.03129578,105.851593,anonymous,VI,2,34,2,2,3,2,1,2,1,1,1,1, , ,1, ,1,2,1,2,1,1,1,2,2,2,2,2,2,1,2,2,3,4,5,1,6,2,8, , , , , , ,1,1,1,1,1,1, , , ,1, , ,3,3,3,3,3,4,4,4,4,4,5,1,2,3,6
QSI29,0,113.20.108.130,100,536,1,04/02/2019,R_2RQTUFc31mI2it7, , , , ,21.03129578,105.851593,anonymous,VI,2,38,3,2,3,1,1,4,2,1,1, , , ,1, ,2,1,2,2,4,2,2,3,2,2,1,1,1,1,1,1,1,2,3,5,4,6,8,4,2,3,5,1,6,1,1,1,1,1,1, ,1, ,1, , ,3,3,3,3,3,5,4,5,5,1,2,5,3,4,6
QSI30,0,113.160.154.155,100,420,1,04/02/2019,R_2bQp1nm5WHA9wtx, , , , ,21.03129578,105.851593,anonymous,VI,1,46,2,2,3,2,4,4,1,1,1,1,1,1,1, ,1,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,4,2,5,6,8,1,2,5,3,4,6,3,1, , , , , , ,1,1, , ,2,2,2,2,2,3,5,3,5,1,2,3,4,5,6
QSI31,0,117.0.37.6,100,376,1,04/02/2019,R_124RodLDycPIBmE, , , , ,21.03129578,105.851593,anonymous,VI,1,21,2,1,2,2,1,1,2,1,1, ,1, ,1, ,1,2,3,2,2,1,1,1,1,1,1,3,3,3,3,3,2,3,5,4,6,1,8,3,5,4,1,2,6,1, , , , ,1, , ,1, , , ,1,1,2,1,1,5,5,5,5,1,5,2,4,3,6
QSI32,0,42.113.173.120,100,703,1,04/02/2019,R_21B5yOVmzEPcszV, , , , ,21.03129578,105.851593,anonymous,EN,1,28,3,2,2,1,1,2,2, ,1,1, , ,1, ,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,4,5,3,1,2,6,8,5,2,1,4,3,6,1, , ,1,1,1, , ,1, , , ,2,2,2,2,3,2,2,2,2,5,4,1,2,3,6
QSI33,0,14.231.79.2,100,568,1,04/02/2019,R_5apYRyqU6M0kCEV, , , , ,21.03129578,105.851593,anonymous,VI,2,37,2,2,3,2,1,4,1,1,1, , , ,1, ,1,3,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,3,5,6,8,4,2,1,5,3,6,1,1,1,1,1,1, ,1, , , , ,2,2,1,1,2,5,5,5,5,4,3,2,5,1,6
QSI34,0,117.4.243.117,100,454,1,04/02/2019,R_2YJHG8vQXI5Gedc, , , , ,21.03129578,105.851593,anonymous,VI,2,36,2,2,4,1,1,4,2,1,1, , , , , ,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,3,4,2,5,6,7,3,2,1,5,4,6,1,1,1, ,1,1, , ,1,1, , ,2,2,2,2,2,5,5,4,4,4,2,1,5,3,6
QSI35,0,27.67.186.133,100,627,1,04/02/2019,R_9nTU77evevy0sI9, , , , ,21.03129578,105.851593,anonymous,VI,1,35,2,2,3,2,1,4,1,1,1,1, , , , ,1,2,4,2,1,1,1,1,4,1,1,1,1,1,1,1,3,4,6,1,2,5,8,4,1,2,5,3,6,1,1, ,1, ,1, ,1, , , , ,1,1,1,1,2,5,5,5,5,5,1,2,3,4,6
QSI36,0,14.177.164.156,100,606,1,04/02/2019,R_3IXMFL3QSCRODpS, , , , ,21.03129578,105.851593,anonymous,VI,2,28,2,2,2,2,1,2,1,1,1,1,1,1,1, ,1,3,3,2,1,1,2,2,1,1,1,1,1,1,1,1,4,2,1,3,5,6,8,3,1,2,4,5,6,1,1,1,1,1,1, , ,1, , , ,2,2,2,2,3,5,5,5,5,5,1,2,3,4,6
QSI37,0,222.252.17.132,100,1042,1,04/02/2019,R_3PtRSVL6FCPxuy4, , , , ,21.03129578,105.851593,anonymous,EN,2,25,3,4,2,2,1,4,2, ,1, , , , , ,1,2,1,2,1,4,2,3,2,2,2,1,1,1,1,1,6,5,1,2,3,4,8,3,5,4,6,2,1,1,1, ,1,1,1, , ,1, , ,1,1,1,2,1,3,5,3,5,5,3,2,4,5,1,6
QSI38,0,113.190.246.66,100,712,1,04/02/2019,R_5o76rmP6iMuybZv, , , , ,21.03129578,105.851593,anonymous,VI,2,46,2,2, ,5,1,2,1,1,1, ,1,1,1, ,1,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,3,2,4,6,5,8,4,2,1,5,3,6,1,1, ,1,1,1, ,1, ,1, , ,1,2,2,2,1,1,1,1,1,4,5,3,2,1,6
QSI39,0,14.245.14.73,100,1125,1,04/02/2019,R_1fjRYtIwsc6k3a3, , , , ,12.66670227,108.0499878,anonymous,EN,2,24,2,1,2,1,1,2,1,1,1, ,1,1,1, ,1,3,1,2,2,2,2,2,1,1,1,1,1,1,1,1,4,3,2,6,7,1,8,4,1,2,5,3,6,1,1,1,1,1,1, ,1, , , ,1,1,1,1,1,1,5,3,5,5,2,1,4,5,3,6
QSI40,0,115.79.4.67,100,1061,1,04/02/2019,R_BVsuJGX8hwqqTD3, , , , ,10.81419373,106.6437988,anonymous,VI,2,42,2,2,3,2,1,3,1,1,1, ,1,1,1, ,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,4,6,1,2,5,8,5,1,2,4,3,7,1, , ,1,1,1,1,1, , , , ,1,1,1,2,1,1,1,1,1,3,4,5,2,1,6
QSI41,0,59.153.255.150,100,1979,1,04/02/2019,R_AMdemz1iarETuNz, , , , ,21.03129578,105.851593,anonymous,VI,2,42,2,4,3,1,1,3,1,1,1, ,1, ,1, ,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,5,6,1,2,4,3,8,1,3,4,2,5,6,1,1,1,1, , , , , ,1, , ,2,1,2,1,3,5,5,5,5,2,3,4,5,1,6
QSI42,0,118.70.41.56,100,1588,1,04/02/2019,R_204i2xXL1ZNKAcF, , , , ,21.03129578,105.851593,anonymous,VI,2,34,2,2,2,1,1,4,1,1,1, ,1, ,1, ,1,3,4,2,1,1,2,3,1,1,2,1,1,1,1,1,3,4,5,2,7,1,8,5,1,2,4,3,6,1, , , , ,1, ,1, , , , ,2,2,2,2,2,1,1,2,1,4,3,2,5,1,6
QSI43,0,42.113.252.62,100,1850,1,04/02/2019,R_26apyO5grlEMQpf, , , , ,21.03129578,105.851593,anonymous,VI,2,37,2,4,3,2,1,4,1,1,1,1,1,1,1, ,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,3,6,1,4,5,8,3,2,1,4,5,6,1,1,1,1,1,1, ,1,1,1, , ,1,1,1,1,2,5,5,5,5,3,2,4,5,1,6
QSI44,0,115.79.64.69,100,1407,1,04/02/2019,R_3avg46CyDjTsZHj, , , , ,10.81419373,106.6437988,anonymous,VI,2,28,2,4,2,2,1,3,1,1,1,1,1,1,1, ,1,3,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,4,6,5,3,8,5,2,1,4,3,6,1,1,1,1,1,1, , ,1, ,1, ,1,1,1,1,1,5,5,5,5,4,3,5,2,1,6
QSI45,0,210.245.54.187,100,1422,1,04/02/2019,R_3hFlpN34J9Wupuh, , , , ,21.03129578,105.851593,anonymous,VI,2,36,2,2,3,1,1,4,1,1,1,1, ,1,1, ,1,2,2,2,2,1,2,2,2,2,2,1,1,1,1,1,1,2,6,4,5,3,7,3,2,1,4,5,6,2,1,1,1,1,1, , ,1,1, , ,3,2,2,2,2,3,3,3,4,2,1,3,5,4,6
QSI46,0,103.9.85.236,100,1032,1,04/02/2019,R_2S35IPkytKXNncW, , , , ,21.03129578,105.851593,anonymous,EN,2,42,3,2,2,5,1,4,2,1,1,1,1,1,1, ,1,2,4,2,1,1,1,2,1,1,2,1,1,1,1,1,1,2,3,4,5,6,8,3,2,1,4,5,6,1,1,1,1,1,1, ,1, ,1, , ,2,2,3,2,2,5,5,5,5,5,2,3,4,1,6
QSI47,0,137.43.59.230,100,406,1,04/02/2019,R_XiSIi9hSebhc7D3, , , , ,53.33380127,-6.248794556,anonymous,EN,2,27,3,1,2,2,1,3,1,1,1, , , ,1, ,1,3,2,2,1,1,1,2,1,1,1,1,1,1,1,1,3,4,2,5,6,1,8,2,4,1,3,5,6,1,1,1,1,1,1, ,1, , , , ,1,1,1,1,1,5,5,5,5,1,2,4,5,3,6
QSI48,0,14.248.20.87,100,3029,1,04/02/2019,R_OMVKFn9bNUcg2OZ, , , , ,21.03129578,105.851593,anonymous,EN,2,36,2,2,3,5,1,3,1,1,1, , , ,1, ,1,3,4,2,2,2,2,3,1,1,1,1,1,1,1,1,5,4,1,6,3,2,8,5,3,1,4,2,6,1,1,1,1,1,1, , ,1, , , ,2,3,1,2,2,4,4,5,5,5,3,2,4,1,6
QSI49,0,62.248.143.98,100,459,1,04/02/2019,R_A6Us4h1mJj98dRD, , , , ,63.09410095,21.62359619,anonymous,EN,2,19,2,1,2,2,1,3,1,1,1,1, ,1,1, ,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,6,3,5,4,8,4,1,2,5,3,6,1,1,1,1,1,1, ,1, , , , ,1,1,1,1,2,5,5,5,5,5,1,3,2,4,6
QSI50,0,14.177.136.61,100,1910,1,04/02/2019,R_20YHKk18R7Tpkhb, , , , ,21.03129578,105.851593,anonymous,VI,2,50,3,4,3,2,1,4,1,1,1,1,1,1,1, ,1,2,4,1,1,1,1,2,1,1,1,1,1,1,1,1,3,4,1,5,6,2,8,1,4,5,2,3,6,1,1,1,1,1,1, ,1, , , , ,2,2,1,2,2,1,1,1,1,1,2,5,4,3,6
QSI51,0,118.69.122.34,100,958,1,04/02/2019,R_20URBQGHWcojaVz, , , , ,10.81419373,106.6437988,anonymous,VI,2,30,2,2,3,1,1,4,2,1, , ,1, , , ,1,3,1,2,1,4,1,3,1,1,1,1,1,1,1,1,1,6,3,5,2,4,8,5,1,3,4,2,6,1,1, ,1,1,1, , ,1, , , ,1,1,1,1,1,5,5,5,5,5,1,4,6,2,3
QSI52,0,115.78.15.111,100,1044,1,04/02/2019,R_1q40o9W2kqwr4V5, , , , ,10.81419373,106.6437988,anonymous,VI,2,20,2,1,2,1,1,3,1,1,1, ,1,1,1, ,1,3,4,2,1,1,1,1,1,1,2,1,1,1,1,1,4,1,7,2,5,3,8,5,1,2,4,3,6,2,1,1,1,1,1, ,1, , , , ,1,1,2,1,1,5,5,5,5,1,2,5,3,4,6
QSI53,0,113.190.92.40,100,4095,1,04/02/2019,R_s83qpJtvBqzskGl, , , , ,21.03129578,105.851593,anonymous,VI,2,24,2,2,2,2,1,3,2,1,1,1,1, , , ,1,3,1,2,1,2,2,1,1,1,1,1,1,1,1,1,5,1,6,3,4,2,8,3,1,4,5,2,6,2,1, ,1,1,1, ,1,1, , , ,3,1,2,1,2,5,5,4,3,1,2,3,5,4,6
QSI54,0,14.231.253.245,100,429,1,04/02/2019,R_9Y0oqzIf9M9Aikh, , , , ,21.03129578,105.851593,anonymous,VI,2,37,2,2,3,5,1,4,2,1,1,1,1, , , ,1,2,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,2,5,6,8,3,2,1,4,5,6,1, , , , ,1, , , ,1, , ,2,2,1,2,4,5,4,5,5,2,3,4,5,1,6
QSI55,0,183.91.4.49,100,1799,1,04/02/2019,R_20T2hCpFlqu9ClT, , , , ,21.03129578,105.851593,anonymous,VI,2,31,2,2,3,1,1,3,1,1,1,1,1,1,1, ,1,3,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,6,3,1,5,4,8,4,3,2,5,1,6,3,1, ,1,1,1, , ,1,1, , ,1,1,1,1,1,1,1,1,1,5,4,3,2,1,6
QSI56,0,116.109.186.90,100,717,1,04/02/2019,R_20OrmVnXwuk5s5R, , , , ,10.81419373,106.6437988,anonymous,VI,1,27,2,2,2,2,1,4,2,1,1, , ,1,1, ,2,2,3,2,2,2,1,2,2,2,2,1,1,1,1,1,6,4,3,1,5,2,8,5,3,2,4,1,6,1,1, ,1, ,1, , ,1,1, , ,3,3,2,3,2,3,3,4,4,5,3,4,2,1,6
QSI57,0,42.113.196.64,100,1317,1,04/02/2019,R_1Eao4X4peqJLRKe, , , , ,21.03129578,105.851593,anonymous,EN,2,36,2,2,3,2,1,4,2,1,1,1,1,1,1, ,2,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,5,6,1,8,4,1,2,5,3,6,1, , , , ,1,1, ,1, , , ,1,1,1,1,1,5,5,5,5,2,3,4,5,1,6
QSI58,0,118.70.190.243,100,493,1,04/02/2019,R_12c2ksAvLaviovm, , , , ,21.03129578,105.851593,anonymous,VI,1,53,3,2,3,2,1,4,2,1,1,1,1, ,1, ,1,3,2,2,1,1, , , , , ,1,1,1,1,1,1,3,4,2,7,5,6, , , , , , ,1,1,1, , ,1, ,1, , , , ,2,2,1,2,2,5,4,4,4,3,2,1,4,6,5
QSI59,0,27.79.134.173,100,450,1,04/02/2019,R_1l47bzGmVECJb4J, , , , ,21.03129578,105.851593,anonymous,VI,2,16,1,1,2,2,1,1,1,1,1,1,1, ,1, ,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,6,2,5,8,2,3,4,1,5,6,1,1,1,1,1,1, ,1, , , , ,3,1,1,1,1,5,5,5,5,1,2,3,5,4,6
QSI60,0,118.70.171.202,100,582,1,04/02/2019,R_3QPmXTIdW8Qmw2e, , , , ,21.03129578,105.851593,anonymous,EN,2,17,1,1,2,2,1,3,1,1,1,1,1,1,1, ,1,2,2,2,2,2,2,3,2,2,2,1,1,1,1,1,2,1,3,7,5,4,6,4,2,1,5,3,6,1, , , , ,1, , ,1, , , ,2,2,2,1,1,5,5,4,5,4,1,3,5,2,6
QSI61,0,116.111.120.141,100,385,1,04/02/2019,R_1NlHKygcl34yHdH, , , , ,21.03129578,105.851593,anonymous,VI,2,35,2,2,2,1,1,4,2, , , ,1, , , ,2,2,4,2,2,2,3,2,2,2,2,1,1,1,1,1,1,2,3,4,5,6,8,1,3,4,2,5,6,1, , , , ,1, , ,1, , , ,1,1,2,3,3,5,3,5,4, , , , , , 
QSI62,0,27.67.131.108,100,467,1,04/02/2019,R_3hikH2SyUDetd23, , , , ,21.03129578,105.851593,anonymous,VI,2,37,3,2,2,2,1,2,1,1,1, ,1, ,1, ,1,2,1,2,1,1,2,2,1,1,1,1,1,1,1,1,4,6,5,2,3,1,8,4,2,1,5,3,6,1,1, ,1,1,1, ,1, , , , ,2,2,1,1,1,5,5,5,5,4,3,1,5,2,6
QSI63,0,113.20.101.220,100,612,1,04/02/2019,R_2DTiU1PAojm06sc, , , , ,21.03129578,105.851593,anonymous,EN,2,16,1,1, ,2,1,3,2,1,1,1, , ,1, ,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,4,5,2,6,1,8,5,1,2,4,3,6,1,1,1,1,1,1, , ,1, , , ,1,2,1,1,1,5,5,5,5,2,1,4,5,3,6
QSI64,0,113.20.116.156,100,560,1,04/02/2019,R_3qrIhVrl2mrQYPW, , , , ,21.03129578,105.851593,anonymous,VI,1,15,1,1,2,2,1,3,1,1,1, ,1,1,1, ,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,6,4,3,1,5,2,8,4,1,2,5,3,6,1,1, ,1,1,1, ,1, , , , ,3,2,2,1,1,5,5,3,5,2,1,4,5,3,6
QSI65,0,117.6.255.198,100,1492,1,04/02/2019,R_3OrcJo6Tg6ZXzUg, , , , ,21.03129578,105.851593,anonymous,VI,1,21,2,1,2,2,1,3,2,1, ,1, , ,1, ,1,3,4,2,2,1,4,4,1,1,1,1,1,1,1,1,5,4,3,2,6,1,8,3,2,4,5,1,6,2, , , , ,1, , ,1, , , ,2,3,3,2,4,4,4,4,5,4,1,3,5,2,6
QSI66,0,115.79.53.95,100,413,1,04/02/2019,R_3EsuP6yLWEjC2bG, , , , ,10.81419373,106.6437988,anonymous,VI,1,27,2,2,2,2,1,4,1,1,1,1,1, ,1, ,1,3,1,2,1,2,3,3,1,1,1,1,1,1,1,1,1,5,6,2,3,4,8,4,1,2,5,3,6,1,1,1,1,1,1, , , ,1, , ,2,2,2,2,2,5,5,5,5,1,2,3,4,5,6
QSI67,0,103.199.36.251,100,2947,1,04/02/2019,R_33avz4nbSIwYsqJ, , , , ,10.81419373,106.6437988,anonymous,EN,2,33,2,2,3,2,1,3,1,1,1, , , ,1, ,1,2,1,2,1,1, ,1,1,1,1,1,1,1,1,1,3,2,6,4,5,1,8,3,1,2,4,5,6,1,1,1,1,1,1, , ,1, , , ,1,1,1,1,1,5,5,5,5,3,1,2,5,4,6
QSI68,0,117.5.40.113,100,870,1,04/02/2019,R_DCdiemBpNGplLOx, , , , ,21.03129578,105.851593,anonymous,VI,2,16,1,1,2,2,1,2,1,1,1,1, , , , ,1,3,2,2,1,1,2,3,1,1,2,1,1,1,1,1,5,2,6,1,3,4,8,3,1,2,5,4,6,2, ,1, , , ,1, ,1, , , ,2,2,2,1,2,3,4,4,5,1,2,5,3,4,6
QSI69,0,1.55.135.31,100,436,1,04/02/2019,R_2Tw03fucJKleV2s, , , , ,21.03129578,105.851593,anonymous,VI,2,20,2,1, ,1,1,2,1,1,1,1,1,1, , ,1,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,5,6,4,8,3,1,2,4,5,6,1,1,1,1,1,1, ,1,1, , , ,1,1,1,1,1,1,1,1,1,2,1,3,5,4,6
